player,pts_per_game,ast_per_game,trb_per_game,mp_per_game,impact_score
Boštjan Nachbar,9.033,1.067,3.2,21.0,0.633
Brad Miller,12.333,3.117,8.025,31.192,0.753
Bradley Beal,21.415,4.338,4.031,34.246,0.87
Brandan Wright,7.0,0.6,4.9,21.5,0.581
Brandin Podziemski,11.567,3.6,5.333,27.3,0.751
Brandon Bass,10.217,1.033,5.317,26.133,0.634
Brandon Boston Jr.,10.7,2.2,3.2,23.6,0.682
Brandon Clarke,11.2,1.5,5.75,23.2,0.795
Brandon Ingram,20.122,4.322,5.267,33.244,0.894
Brandon Jennings,14.362,5.812,3.025,31.0,0.748
Brandon Knight,15.629,4.4,3.471,31.286,0.751
Brandon Miller,18.75,2.85,4.6,31.25,0.838
Brandon Roy,18.44,4.46,4.16,35.08,0.771
Brandon Rush,8.12,1.12,3.3,25.78,0.486
Brandon Williams,13.0,3.9,2.9,22.2,0.892
Brendan Haywood,7.7,0.578,6.878,25.622,0.592
Brent Barry,10.286,3.886,3.586,29.286,0.606
Brevin Knight,8.238,6.688,2.75,27.462,0.644
Brian Cardinal,9.3,1.7,4.05,23.1,0.652
Brian Grant,10.16,1.26,7.88,29.72,0.649
Brian Roberts,9.4,3.3,1.9,23.2,0.629
Brian Scalabrine,6.3,1.6,4.5,21.6,0.574
Brian Shaw,5.3,3.2,3.8,22.9,0.537
Brian Skinner,7.45,0.9,6.5,25.45,0.583
Brice Sensabaugh,12.9,1.7,3.05,21.85,0.808
Brook Lopez,15.307,1.46,5.947,29.733,0.764
Bruce Bowen,7.062,1.425,3.088,31.325,0.37
Bruce Brown,9.314,2.586,4.443,25.486,0.641
Bryant Reeves,8.6,1.15,5.85,25.05,0.623
Bryant Stith,9.7,2.2,3.6,32.1,0.483
Bryce Drew,6.3,3.9,1.4,27.2,0.426
Bryce McGowens,8.1,1.5,2.1,21.0,0.557
Bryn Forbes,11.5,1.9,2.45,26.55,0.597
Bryon Russell,11.9,2.033,4.633,32.467,0.572
Bub Carrington,10.25,4.5,3.8,28.85,0.643
Buddy Hield,14.267,2.375,3.942,27.525,0.748
Byron Mullens,9.95,1.2,5.7,24.7,0.682
C.J. Miles,11.012,1.225,2.738,23.188,0.646
C.J. Watson,9.875,3.3,2.525,25.15,0.624
CJ Elleby,5.8,1.5,3.9,20.2,0.554
