player,pts_per_game,ast_per_game,trb_per_game,mp_per_game,impact_score
Jacque Vaughn,6.25,3.6,1.75,21.85,0.531
Jaden Ivey,15.85,4.5,3.65,29.95,0.801
Jaden McDaniels,10.933,1.7,4.133,28.867,0.581
Jae Crowder,10.133,1.758,4.658,26.983,0.613
Jae'Sean Tate,11.55,2.65,5.35,27.8,0.703
Jahidi White,8.6,0.3,7.7,23.7,0.7
Jahlil Okafor,14.65,1.2,5.9,26.35,0.825
Jaime Jaquez Jr.,11.967,3.267,4.4,25.733,0.763
Jake LaRavia,7.467,2.333,4.1,22.133,0.628
Jake Tsakalidis,7.3,0.3,5.6,23.6,0.559
Jake Voskuhl,6.6,0.9,5.2,24.3,0.523
Jakob Poeltl,11.857,2.543,8.643,27.043,0.852
Jalen Brunson,20.414,5.5,3.271,31.357,0.931
Jalen Duren,13.55,2.05,10.325,27.075,0.958
Jalen Green,20.0,3.3,4.225,32.675,0.842
Jalen Johnson,19.25,5.75,9.5,34.45,1.001
Jalen McDaniels,10.0,1.8,4.55,25.3,0.646
Jalen Rose,17.43,4.09,4.04,35.86,0.713
Jalen Smith,10.2,1.2,6.7,20.7,0.874
Jalen Suggs,12.025,3.875,3.4,26.325,0.733
Jalen Williams,18.267,4.3,4.6,31.333,0.867
Jalen Wilson,9.5,1.8,3.4,25.7,0.572
Jamaal Magloire,9.9,0.8,8.675,28.7,0.675
Jamaal Tinsley,10.5,6.617,3.4,29.667,0.692
Jamal Crawford,15.971,3.553,2.388,31.347,0.699
Jamal Mashburn,20.175,4.8,6.2,39.25,0.794
Jamal Murray,19.167,5.078,3.878,32.156,0.875
Jamal Shead,6.6,5.4,1.7,22.6,0.606
Jamario Moon,7.667,1.233,5.133,26.4,0.532
Jameer Nelson,11.129,5.071,2.921,27.586,0.693
James Anderson,10.1,1.9,3.8,28.9,0.547
James Ennis III,7.2,1.0,3.433,23.017,0.505
James Harden,23.947,7.595,5.721,34.984,1.065
James Johnson,9.54,2.76,4.24,24.18,0.684
James Jones,8.65,0.7,3.1,22.8,0.546
James Posey,8.775,1.692,4.8,27.575,0.554
Jamie Feick,5.7,0.8,9.3,27.7,0.57
Jamir Watkins,7.4,1.3,3.9,20.6,0.612
Jannero Pargo,9.2,2.5,2.2,20.9,0.665
Jarace Walker,11.6,2.5,5.1,25.7,0.747
Jared Dudley,8.456,1.733,3.322,24.9,0.543
Jared Jeffries,5.586,1.514,4.543,25.086,0.464
Jared Sullinger,12.3,2.067,8.0,26.067,0.858
Jarell Martin,7.7,1.0,4.4,22.8,0.575
Jaren Jackson,6.3,1.5,2.2,20.9,0.478
Jaren Jackson Jr.,18.675,1.6,5.562,29.162,0.886
Jarred Vanderbilt,7.7,2.133,7.933,24.533,0.724
Jarrett Allen,13.2,1.68,9.26,28.43,0.849
Jarrett Culver,9.2,1.7,3.4,23.9,0.598
Jarrett Jack,10.864,4.564,2.882,27.918,0.656
Jarron Collins,5.9,1.0,4.1,21.3,0.516
Jarvis Hayes,8.7,1.16,3.32,25.2,0.523
Jason Caffey,9.55,1.25,5.9,25.65,0.651
Jason Collins,4.74,1.2,4.9,26.72,0.406
Jason Hart,9.5,5.0,2.7,25.5,0.675
Jason Kapono,9.55,1.25,2.35,24.65,0.533
Jason Kidd,12.153,8.607,6.447,35.653,0.763
Jason Maxiell,7.025,0.625,5.35,22.35,0.582
Jason Richardson,17.031,2.608,4.885,34.4,0.713
Jason Smith,8.95,1.3,4.45,22.75,0.646
Jason Terry,15.133,4.307,2.547,32.253,0.682
Jason Thompson,9.371,1.114,6.929,26.529,0.656
Jason Williams,10.76,5.98,2.28,29.81,0.638
Javaris Crittenton,5.3,2.6,2.9,20.2,0.535
Javon Small,9.7,3.7,3.1,20.2,0.817
Javonte Green,6.5,0.9,3.9,22.6,0.5
Jaxson Hayes,9.3,0.6,4.5,20.0,0.72
Jay Huff,9.5,1.5,4.0,21.0,0.714
Jay Williams,9.5,4.7,2.6,26.1,0.644
Jaylen Brown,21.844,3.189,5.856,32.967,0.937
Jaylen Wells,11.45,1.65,3.3,26.15,0.627
Jaylon Tyson,13.2,2.2,5.1,26.9,0.762
Jayson Tatum,23.762,3.862,7.375,34.575,1.012
Jeff Foster,5.929,1.071,8.0,24.186,0.62
Jeff Green,12.665,1.576,4.324,29.235,0.635
Jeff Hornacek,12.4,2.6,2.4,27.7,0.628
Jeff McInnis,11.32,5.4,2.34,33.44,0.57
Jeff Teague,14.2,6.656,2.711,30.833,0.764
Jelani McCoy,6.8,0.6,5.3,20.4,0.623
Jerami Grant,15.091,1.864,4.0,29.555,0.709
Jeremiah Fears,14.3,3.4,3.7,25.8,0.829
Jeremiah Robinson-Earl,7.5,1.0,5.6,22.2,0.635
Jeremy Lamb,13.567,2.2,4.633,27.067,0.754
Jeremy Lin,12.2,4.45,2.85,28.3,0.689
Jeremy Sochan,11.333,2.767,6.067,26.967,0.748
Jerian Grant,8.4,4.6,2.3,22.8,0.671
Jermaine O'Neal,16.542,1.775,8.4,32.125,0.832
Jerome Williams,7.45,1.05,7.417,25.0,0.637
Jerry Stackhouse,17.267,3.511,3.167,30.944,0.774
Jerryd Bayless,9.357,3.271,2.357,23.657,0.633
Jevon Carter,8.0,2.4,2.5,22.3,0.578
Jim Jackson,11.257,2.614,4.671,30.586,0.606
Jimmy Butler,19.257,4.629,5.586,34.371,0.857
Jiří Welsch,8.35,1.9,3.1,23.7,0.563
Joakim Noah,9.178,2.833,9.467,29.222,0.735
Jock Landale,10.95,1.7,6.1,22.85,0.821
Jodie Meeks,10.72,1.18,2.22,26.34,0.536
Joe Harris,11.483,1.733,3.333,26.633,0.621
Joe Ingles,8.962,4.025,3.35,26.638,0.613
Joe Johnson,15.289,3.763,3.874,33.779,0.679
Joe Smith,9.991,0.918,6.273,24.982,0.688
Joel Anthony,3.4,0.1,3.9,21.1,0.351
Joel Embiid,27.6,3.517,11.45,32.167,1.323
Joel Przybilla,5.7,0.625,7.95,24.175,0.59
John Amaechi,9.2,1.05,3.3,21.0,0.645
John Collins,16.244,1.456,7.878,29.222,0.875
John Henson,9.95,1.55,6.95,26.2,0.704
John Konchar,4.7,1.7,4.5,21.05,0.518
John Salmons,10.731,2.654,3.169,29.438,0.562
John Starks,9.3,2.4,2.1,28.3,0.488
John Stockton,11.95,8.3,2.775,29.475,0.781
John Wall,19.011,8.9,4.2,35.344,0.909
Johnny Newman,10.45,1.1,2.0,23.25,0.583
Jon Barry,7.65,2.675,2.6,22.475,0.575
Jon Leuer,10.2,1.5,5.4,25.9,0.66
Jonas Jerebko,9.0,0.7,5.4,25.4,0.594
Jonas Valančiūnas,13.3,1.4,9.362,25.254,0.953
Jonathan Bender,7.4,0.8,3.1,21.1,0.536
Jonathan Isaac,9.6,1.1,5.5,26.6,0.609
Jonathan Kuminga,13.767,2.1,4.267,23.8,0.846
Jonathan Mogbo,6.2,2.3,4.9,20.4,0.657
Jonathon Simmons,10.4,2.4,2.95,25.0,0.63
Jonny Flynn,13.5,4.4,2.4,28.9,0.702
Jordan Clarkson,15.867,2.9,3.292,27.208,0.811
Jordan Crawford,12.44,3.24,2.7,25.1,0.732
Jordan Farmar,9.6,4.2,2.367,22.467,0.72
Jordan Goodwin,8.7,2.2,4.9,22.5,0.702
Jordan Hawkins,10.8,1.2,2.8,23.6,0.627
Jordan Hill,10.167,1.167,7.167,22.767,0.813
Jordan Miller,10.0,2.3,3.0,22.1,0.692
Jordan Poole,17.12,3.96,2.78,28.38,0.841
Jorge Garbajosa,8.5,1.9,4.9,28.5,0.537
Jose Alvarado,9.067,3.567,2.5,22.6,0.67
Josh Boone,8.2,0.8,7.3,25.3,0.644
Josh Childress,11.225,1.875,5.575,31.7,0.589
Josh Giddey,14.6,6.74,7.7,30.0,0.968
Josh Green,8.233,1.867,2.9,26.633,0.488
Josh Hart,10.691,3.4,7.155,30.736,0.691
Josh Howard,14.614,1.643,5.829,30.686,0.72
Josh Jackson,12.667,2.033,4.367,25.267,0.755
Josh McRoberts,7.3,2.833,5.0,24.9,0.608
Josh Okogie,7.233,1.3,3.267,23.0,0.513
Josh Richardson,11.227,2.564,2.982,27.555,0.609
Josh Smith,14.958,3.167,7.6,33.017,0.779
José Calderón,9.942,6.525,2.6,28.917,0.659
Jrue Holiday,15.919,6.156,4.194,32.606,0.806
Juan Carlos Navarro,10.9,2.2,2.6,25.8,0.609
Juan Dixon,10.05,1.725,1.975,23.125,0.595
Juan Toscano-Anderson,5.7,2.8,4.4,20.9,0.617
Julian Champagnie,10.5,1.45,4.85,25.6,0.656
Julian Strawther,9.0,1.3,2.2,21.3,0.587
Julius Randle,19.509,4.009,8.936,32.355,1.003
Jumaine Jones,9.05,1.125,5.3,26.4,0.586
Junior Harrington,5.1,3.4,3.0,24.4,0.471
Justin Champagnie,8.75,1.1,5.65,20.8,0.745
Justin Edwards,10.1,1.6,3.4,26.3,0.574
Justin Holiday,9.975,1.625,3.3,28.05,0.531
Justin Jackson,6.7,1.2,2.8,21.45,0.499
Justise Winslow,8.933,2.667,5.333,27.667,0.612
Jusuf Nurkić,12.388,2.962,9.5,25.588,0.971
Juwan Howard,13.736,2.082,6.573,31.9,0.702
K.J. McDaniels,8.55,1.25,3.5,23.6,0.564
KJ Martin,9.3,1.25,4.4,23.475,0.637
Kareem Rush,8.933,1.267,2.167,21.667,0.571
Karl Malone,20.98,4.22,8.58,35.7,0.946
Karl-Anthony Towns,22.756,3.078,11.211,33.744,1.098
Kawhi Leonard,20.808,3.15,6.417,31.925,0.951
Keegan Murray,13.267,1.433,5.6,32.567,0.623
Keita Bates-Diop,9.7,1.5,3.7,21.7,0.687
Keith Bogans,8.425,1.55,3.525,25.525,0.529
Keith McLeod,7.8,4.5,2.1,26.1,0.552
Keith Van Horn,14.938,1.55,6.6,30.375,0.76
Kel'el Ware,10.2,0.8,8.2,22.15,0.867
Keldon Johnson,15.567,2.1,5.467,28.3,0.817
Kelenna Azubuike,11.45,1.25,4.5,26.75,0.643
Kelly Olynyk,10.175,2.642,5.3,23.042,0.786
Kelly Oubre Jr.,14.927,1.318,5.009,29.582,0.719
Kelvin Cato,7.1,0.6,6.625,24.95,0.574
Kemba Walker,19.63,5.32,3.84,33.44,0.861
Kendall Gill,9.275,1.95,3.225,25.775,0.561
Kendall Marshall,8.0,8.8,2.9,29.0,0.679
Kendrick Nunn,14.95,2.95,2.95,29.4,0.709
Kendrick Perkins,6.55,1.217,6.6,25.917,0.554
Kenneth Faried,11.683,1.05,8.45,25.35,0.836
Kenny Anderson,9.867,4.4,2.7,28.067,0.605
Kenny Thomas,10.15,1.62,7.3,29.0,0.658
Kenrich Williams,7.375,2.075,4.575,22.45,0.625
Kent Bazemore,10.633,2.217,4.05,26.217,0.645
Kentavious Caldwell-Pope,11.333,1.983,3.017,29.783,0.548
Kenyon Martin,12.555,1.918,6.955,31.018,0.691
Keon Clark,8.7,0.94,6.0,22.86,0.684
Keon Ellis,7.5,1.25,2.3,22.45,0.492
Keon Johnson,10.6,2.2,3.8,24.4,0.68
Kerry Kittles,13.125,2.5,3.725,31.75,0.609
Kessler Edwards,5.9,0.6,3.6,20.6,0.49
Kevin Durant,27.244,4.425,6.906,36.781,1.049
Kevin Garnett,17.312,3.588,10.088,33.059,0.937
Kevin Huerter,11.0,2.76,3.4,26.41,0.65
Kevin Knox,12.8,1.1,4.5,28.8,0.639
Kevin Love,16.485,2.277,10.1,29.538,0.977
Kevin Martin,19.289,2.133,3.422,32.844,0.756
Kevin Ollie,5.925,3.55,2.225,21.925,0.534
Kevin Porter Jr.,14.933,4.7,4.3,29.6,0.809
Kevin Séraphin,8.5,0.65,4.65,21.2,0.651
Kevin Willis,8.833,0.633,6.7,23.133,0.699
Kevon Looney,6.5,2.25,8.3,22.5,0.758
Keyon Dooling,8.525,2.6,1.6,23.325,0.546
Keyonte George,17.8,5.367,3.433,30.533,0.871
Khem Birch,7.2,1.3,5.8,22.8,0.627
Khris Middleton,16.88,4.01,4.92,30.92,0.835
Killian Hayes,8.033,5.1,2.967,25.767,0.625
Kirk Hinrich,10.992,4.823,2.908,31.131,0.601
Klay Thompson,18.383,2.208,3.367,31.233,0.767
Kobe Bryant,27.0,5.047,5.58,38.133,0.987
Kon Knueppel,18.5,3.4,5.3,31.5,0.863
Kosta Koufos,7.3,0.55,6.3,21.2,0.667
Kris Dunn,9.14,4.36,3.74,27.14,0.635
Kris Humphries,9.975,1.025,8.575,26.1,0.75
Kris Murray,5.95,1.35,3.6,22.55,0.483
Kristaps Porziņģis,19.844,1.833,7.778,30.7,0.959
Kurt Thomas,9.54,1.34,7.83,28.25,0.662
Kwame Brown,8.167,1.1,6.167,25.867,0.597
Ky Bowman,7.4,2.9,2.7,22.6,0.575
Kyle Anderson,8.617,3.517,5.167,26.05,0.664
Kyle Filipowski,10.5,2.25,6.65,22.25,0.872
Kyle Korver,10.34,1.793,3.08,26.7,0.57
Kyle Kuzma,16.533,2.656,6.1,30.556,0.828
Kyle Lowry,14.017,6.1,4.233,31.394,0.776
Kyle Singler,7.875,1.025,3.175,25.525,0.473
Kyle Weaver,5.3,1.8,2.3,20.8,0.452
Kyrie Irving,23.685,5.515,4.154,34.538,0.966
Kyshawn George,11.75,3.5,4.65,27.75,0.717
LaMarcus Aldridge,19.033,1.9,8.113,33.46,0.868
LaMelo Ball,20.275,7.05,5.575,30.275,1.087
LaPhonso Ellis,8.3,0.967,5.1,23.967,0.599
Lamar Odom,14.058,3.767,8.558,34.433,0.766
Lamond Murray,15.1,1.867,5.1,31.033,0.711
Lance Stephenson,10.0,3.575,5.2,28.225,0.665
Lance Thomas,7.4,1.0,2.85,23.325,0.482
Landry Fields,7.733,1.9,4.9,26.667,0.545
Landry Shamet,8.9,1.629,1.729,22.529,0.544
Langston Galloway,9.1,1.817,2.733,24.233,0.563
Larry Hughes,13.958,3.083,4.125,30.575,0.692
Larry Johnson,10.3,2.25,5.5,32.5,0.555
Larry Nance Jr.,7.9,1.725,6.35,22.925,0.697
Larry Sanders,9.8,1.2,9.5,27.3,0.751
Latrell Sprewell,16.95,3.6,3.9,37.883,0.645
Lauri Markkanen,19.056,1.533,7.044,31.3,0.883
Lavoy Allen,5.6,0.95,5.2,20.65,0.569
LeBron James,26.739,7.413,7.478,37.391,1.113
Leandro Barbosa,13.188,2.4,2.262,25.512,0.7
Lee Nailon,12.5,1.4,4.05,26.95,0.666
Linas Kleiza,10.233,0.967,4.1,22.567,0.678
Lindsey Hunter,11.4,3.35,2.55,30.0,0.577
Lonnie Walker IV,11.667,1.667,2.367,23.867,0.658
Lonzo Ball,11.625,6.325,5.775,32.1,0.739
Lorenzen Wright,10.1,1.017,7.333,26.917,0.685
Lou Amundson,6.0,1.6,6.0,20.9,0.651
Lou Williams,15.227,3.647,2.367,25.647,0.828
Luc Mbah a Moute,7.25,0.962,4.55,25.1,0.508
Lucious Harris,8.925,1.85,2.925,24.2,0.566
Luguentz Dort,12.367,1.617,3.95,29.567,0.607
Luis Scola,12.988,1.738,7.038,27.512,0.791
Luka Dončić,29.262,8.238,8.5,35.05,1.312
Luke Kennard,9.1,2.1,2.657,22.457,0.617
Luke Kornet,6.5,1.9,6.1,21.0,0.69
Luke Ridnour,10.478,5.022,2.444,28.6,0.627
Luke Walton,9.3,3.6,4.45,28.2,0.615
Luol Deng,14.779,2.3,6.036,34.464,0.671
Luther Head,9.85,2.55,3.25,28.25,0.554
Malaki Branham,9.7,2.0,2.35,22.4,0.627
Malcolm Brogdon,15.233,4.55,4.167,29.383,0.815
Malik Allen,9.6,0.7,5.3,29.0,0.538
Malik Beasley,12.614,1.486,3.071,25.743,0.667
Malik Monk,13.486,3.529,2.843,24.6,0.807
Malik Rose,9.167,1.033,5.933,22.3,0.723
Malik Sealy,11.3,2.4,4.3,29.2,0.616
Manu Ginóbili,13.877,3.869,3.654,26.208,0.817
MarShon Brooks,12.6,2.3,3.6,29.4,0.629
Marc Gasol,14.538,3.546,7.662,33.0,0.78
Marc Jackson,12.6,1.1,6.25,26.9,0.742
Marcin Gortat,11.978,1.289,9.089,29.689,0.753
Marco Belinelli,10.555,1.818,2.164,24.355,0.597
Marcus Banks,11.0,4.25,2.6,28.25,0.632
Marcus Camby,8.7,2.123,10.715,29.8,0.723
Marcus Fizer,10.9,1.35,4.95,23.85,0.721
Marcus Morris,13.383,1.55,4.742,28.2,0.698
Marcus Smart,10.55,4.53,3.48,29.99,0.619
Marcus Thornton,12.8,1.45,3.017,26.233,0.658
Mario Chalmers,9.07,3.71,2.47,26.1,0.584
Mario Elie,5.95,2.15,2.75,25.1,0.432
Mario Hezonja,9.2,1.45,3.9,21.45,0.678
Mark Blount,10.317,0.983,5.217,27.3,0.605
Mark Bryant,5.7,0.8,4.7,22.8,0.491
Mark Jackson,8.15,8.15,3.65,30.125,0.662
Mark Williams,13.5,1.75,9.1,25.1,0.97
Markelle Fultz,11.3,4.533,3.467,26.167,0.738
Markieff Morris,11.656,1.689,5.211,25.456,0.729
Marko Jarić,7.867,3.983,2.883,27.283,0.54
Marquese Chriss,8.733,1.267,5.3,20.933,0.731
Marquis Daniels,10.275,2.225,3.675,26.1,0.62
Marreese Speights,8.8,0.8,6.2,22.4,0.705
Martell Webster,9.271,1.114,3.371,25.586,0.538
Marvin Bagley III,12.417,1.033,6.783,23.3,0.868
Marvin Williams,10.514,1.3,5.279,28.679,0.596
Mason Plumlee,9.667,3.078,7.933,25.367,0.815
Matas Buzelis,16.3,2.1,5.8,29.2,0.829
Matisse Thybulle,5.0,1.167,2.1,22.8,0.363
Matt Barnes,9.16,2.11,5.04,26.09,0.625
Matt Bonner,7.4,0.875,3.825,21.95,0.551
Matt Carroll,10.55,1.1,2.85,25.65,0.565
Matt Geiger,9.7,0.6,6.0,21.6,0.755
Matt Harpring,13.1,1.55,5.667,29.833,0.681
Matt Maloney,6.55,2.75,1.7,24.25,0.454
Matthew Dellavedova,6.633,4.033,1.967,23.767,0.532
Maurice Evans,8.02,0.88,2.8,22.76,0.514
Maurice Harkless,7.3,1.0,3.886,24.3,0.501
Maurice Taylor,11.46,1.3,4.94,26.68,0.663
Max Christie,10.133,1.767,3.067,27.167,0.551
Max Strus,10.925,2.675,3.825,27.3,0.638
Maxi Kleber,6.88,1.28,4.84,23.68,0.549
Maxime Raynaud,12.5,1.4,7.5,26.5,0.808
Mehmet Okur,14.729,1.814,7.457,30.814,0.779
Melvin Ely,8.55,1.15,4.5,22.25,0.638
Metta World Peace,14.386,2.964,4.814,34.107,0.65
Meyers Leonard,7.25,1.3,5.1,21.1,0.647
Michael Beasley,13.783,1.45,5.2,25.5,0.801
Michael Carter-Williams,14.45,6.4,5.7,32.875,0.808
Michael Curry,4.6,1.7,1.9,22.55,0.364
Michael Dickerson,17.25,2.9,3.35,37.6,0.625
Michael Finley,15.72,2.71,4.34,34.22,0.665
Michael Jordan,21.45,4.5,5.9,35.95,0.886
Michael Kidd-Gilchrist,9.1,1.22,5.94,26.62,0.611
Michael Olowokandi,8.975,0.7,7.3,27.675,0.613
Michael Porter Jr.,19.1,1.74,6.78,31.64,0.873
Michael Redd,20.857,2.286,4.186,34.157,0.8
Michael Smith,5.05,1.25,7.15,22.65,0.594
Mickaël Piétrus,9.15,0.9,3.283,23.1,0.577
Mikal Bridges,14.889,2.911,3.989,33.511,0.65
Mike Bibby,14.777,5.446,3.131,34.223,0.682
Mike Conley,13.872,5.756,2.933,30.994,0.728
Mike Dunleavy,12.258,2.383,4.683,30.1,0.642
Mike James,11.078,3.956,2.589,27.622,0.638
Mike Miller,12.746,2.946,4.908,30.985,0.665
Mike Muscala,7.333,1.167,4.133,20.833,0.606
Mikki Moore,9.15,0.95,5.55,27.75,0.564
Miles Bridges,15.971,2.771,6.171,30.971,0.804
Miles McBride,10.75,2.75,2.45,25.6,0.623
Miles Plumlee,8.1,0.5,7.8,24.6,0.667
Miloš Teodosić,9.5,4.6,2.8,25.2,0.671
Milt Palacio,4.7,3.15,2.3,22.6,0.449
Mirza Teletović,10.35,1.15,4.35,21.8,0.727
Mitch Richmond,17.4,2.5,2.9,32.4,0.704
Mitchell Robinson,8.225,0.65,7.85,24.1,0.694
Mo Bamba,10.6,1.2,8.1,25.7,0.774
Mo Williams,13.883,5.392,2.858,30.708,0.721
Monta Ellis,18.61,4.86,3.51,35.94,0.751
Monte Morris,10.5,4.0,2.54,25.8,0.66
Montrezl Harrell,15.18,1.78,6.52,24.88,0.944
Monty Williams,8.7,1.4,3.3,20.0,0.67
Moochie Norris,7.35,4.2,2.7,23.8,0.599
Mookie Blaylock,11.15,6.7,3.8,33.9,0.639
Morris Peterson,11.0,1.589,3.522,27.933,0.577
Moses Brown,8.6,0.2,8.9,21.4,0.827
Moses Moody,10.95,1.45,2.95,24.0,0.64
Moussa Diabaté,7.9,1.9,8.7,26.0,0.712
Muggsy Bogues,5.1,3.7,1.7,21.6,0.486
Myles Turner,13.727,1.255,6.618,28.582,0.756
Naji Marshall,12.5,2.933,4.367,26.867,0.737
Nassir Little,9.8,1.3,5.6,25.9,0.645
Nate Robinson,12.267,3.217,2.65,24.583,0.738
Nate Wolters,7.2,3.2,2.6,22.6,0.575
Naz Reid,13.767,1.933,5.8,25.933,0.829
Nazr Mohammed,9.1,0.633,7.067,23.85,0.704
Neemias Queta,10.2,1.7,8.4,25.3,0.802
Nemanja Bjelica,9.3,2.0,5.433,23.867,0.701
Nenad Krstić,9.55,0.7,5.217,24.767,0.624
Nenê,12.48,2.03,6.58,29.0,0.727
Nerlens Noel,8.7,1.3,7.1,26.2,0.653
Nic Claxton,11.02,2.16,7.8,27.02,0.776
Nick Anderson,10.8,1.7,4.7,29.1,0.591
Nick Collison,7.157,1.029,6.271,24.029,0.602
Nick Richards,9.5,0.85,8.1,24.15,0.764
Nick Smith Jr.,9.9,2.4,2.1,22.8,0.632
Nick Van Exel,16.2,6.8,3.4,34.467,0.766
Nick Young,14.275,1.175,2.3,26.788,0.663
Nickeil Alexander-Walker,12.1,2.717,2.983,25.483,0.698
Nicolas Batum,10.514,3.429,5.107,30.486,0.625
Nik Stauskas,9.0,2.15,2.65,26.1,0.529
Nikola Jokić,22.445,7.6,11.127,32.127,1.282
Nikola Jović,10.7,2.8,3.9,25.1,0.693
Nikola Mirotić,12.68,1.3,6.14,24.68,0.815
Nikola Peković,15.9,0.833,8.3,29.767,0.841
Nikola Vučević,17.994,3.125,10.544,31.956,0.991
Nique Clifford,8.6,2.4,3.8,25.1,0.59
Noah Clowney,10.7,1.25,4.0,24.85,0.642
Noah Vonleh,8.4,1.9,7.8,25.3,0.715
Nolan Traoré,8.9,3.8,1.8,22.2,0.653
Norman Powell,18.478,1.911,3.167,30.111,0.782
Norris Cole,7.725,3.4,2.45,25.0,0.543
O.J. Mayo,13.262,2.888,3.038,30.125,0.637
OG Anunoby,13.633,1.811,4.544,30.978,0.645
Obi Toppin,10.3,1.6,3.9,21.1,0.749
Ochai Agbaji,8.033,1.233,2.9,22.9,0.531
Olden Polynice,5.3,0.45,5.1,21.1,0.514
Oliver Miller,6.3,1.3,5.1,21.3,0.596
Omri Casspi,9.34,1.22,4.42,23.6,0.635
Onyeka Okongwu,11.38,1.76,7.28,25.64,0.796
Oshae Brissett,9.1,1.1,5.3,23.3,0.665
Oso Ighodaro,6.5,2.3,5.1,22.0,0.632
Othella Harrington,9.68,0.82,5.92,26.24,0.626
Otto Porter Jr.,12.4,1.783,5.817,29.3,0.683
P.J. Brown,9.2,1.575,8.162,31.25,0.606
P.J. Tucker,6.808,1.433,5.55,29.042,0.475
P.J. Washington,13.312,2.188,5.962,30.425,0.705
PJ Dozier,7.7,1.8,3.6,21.8,0.601
Paolo Banchero,22.675,4.775,7.425,34.5,1.011
Pascal Siakam,20.27,3.94,7.06,32.98,0.948
Pat Connaughton,7.36,1.58,4.18,23.06,0.569
Pat Garrity,10.033,1.133,3.6,27.6,0.535
Patrick Beverley,8.32,3.41,4.15,27.46,0.578
Patrick Ewing,12.3,1.05,8.55,29.75,0.736
Patrick Patterson,8.625,1.225,4.8,24.725,0.593
Patrick Williams,9.08,1.52,3.86,25.8,0.56
Patty Mills,10.243,2.657,1.871,23.957,0.617
Pau Gasol,17.306,3.241,9.306,33.876,0.881
Paul George,20.238,3.685,6.162,33.277,0.904
Paul Millsap,14.208,2.338,7.315,29.331,0.814
Paul Pierce,20.869,3.75,5.769,35.462,0.857
Payton Pritchard,13.633,4.033,3.633,27.7,0.769
Peja Stojaković,17.909,1.8,5.027,35.1,0.705
Pelle Larsson,11.4,3.4,3.5,26.4,0.693
Peyton Watson,11.35,1.75,4.15,27.0,0.639
Popeye Jones,7.0,1.6,7.3,24.3,0.654
Precious Achiuwa,8.367,1.133,6.433,22.467,0.709
Predrag Drobnjak,8.9,0.85,3.65,22.2,0.604
Primož Brezec,12.7,0.9,6.5,29.5,0.681
Quentin Grimes,10.633,2.167,3.15,24.867,0.641
Quentin Richardson,11.467,1.667,5.211,29.222,0.628
Quincy Pondexter,7.533,1.267,2.633,24.267,0.471
Quinton Ross,5.0,1.233,2.5,21.633,0.404
Qyntel Woods,6.7,1.0,3.9,20.7,0.56
R.J. Hampton,7.6,2.5,3.0,21.9,0.598
RJ Barrett,18.871,3.343,5.514,32.557,0.852
Raef LaFrentz,11.7,1.186,6.743,28.771,0.682
Rafer Alston,11.344,5.167,3.1,32.044,0.612
Raja Bell,12.212,2.038,3.3,33.025,0.531
Rajon Rondo,9.815,7.985,4.623,30.3,0.74
Ramon Sessions,11.422,4.356,2.811,24.878,0.747
Randy Brown,5.25,3.15,2.1,25.2,0.417
Randy Foye,10.656,2.8,2.156,25.878,0.603
Rashad McCants,14.9,2.2,2.7,26.9,0.736
Rashard Lewis,17.473,1.936,5.873,36.409,0.694
Rasheed Wallace,15.133,1.95,7.008,33.808,0.713
Rasho Nesterović,7.7,1.143,5.886,24.929,0.591
Rasual Butler,9.517,0.95,2.917,26.183,0.511
Raul Neto,8.7,2.3,2.4,21.9,0.612
Ray Allen,19.45,3.362,4.025,35.781,0.75
Ray McCallum,7.4,2.8,2.6,21.1,0.607
Raymond Felton,12.533,6.1,3.217,32.917,0.664
Reed Sheppard,13.5,3.4,2.9,26.2,0.756
Reggie Bullock,10.233,1.683,3.083,29.467,0.509
Reggie Evans,4.68,0.62,8.4,22.56,0.607
Reggie Jackson,13.542,4.492,2.967,27.1,0.775
Reggie Miller,15.15,2.733,2.767,33.85,0.61
Reggie Williams,9.2,1.5,2.7,20.3,0.66
Richard Hamilton,17.633,3.558,3.167,33.0,0.738
Richard Jefferson,13.762,2.208,4.331,31.785,0.639
Richaun Holmes,11.675,1.2,7.225,25.55,0.787
Rick Brunson,5.5,5.1,2.3,24.3,0.531
Rick Fox,8.833,3.333,4.333,28.167,0.586
Ricky Davis,16.3,3.911,4.089,34.789,0.698
Ricky Rubio,11.044,7.611,4.111,30.433,0.748
Rik Smits,12.9,1.1,5.1,23.4,0.816
Robert Covington,11.289,1.478,5.911,29.844,0.626
Robert Horry,6.05,2.25,5.2,24.5,0.551
Robert Swift,6.4,0.2,5.6,21.0,0.581
Robert Williams,10.0,2.0,9.6,29.6,0.73
Robin Lopez,10.571,1.157,6.129,26.957,0.662
Rod Strickland,9.75,5.95,2.875,26.9,0.691
Rodions Kurucs,8.5,0.8,3.9,20.5,0.644
Rodney Buford,8.2,1.05,3.65,24.3,0.531
Rodney Hood,12.333,1.9,2.767,26.85,0.633
Rodney McGruder,7.0,1.65,3.45,24.35,0.497
Rodney Rogers,11.0,1.783,4.633,24.667,0.706
Rodney Stuckey,13.4,3.738,3.038,28.862,0.699
Rodney White,9.0,1.7,3.0,21.7,0.631
Rodrigue Beaubois,8.9,2.9,2.8,21.7,0.673
Roger Mason,10.45,1.9,2.35,25.9,0.568
